Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKNL - Non-performing loans net of provisions to capital (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.64539110660553,9.853053782847615,12.50370449483624,24.02469983366735,18.577330076650068,11.200255087795497,-1.47831559181213,0.0,0.0,0.37,8.967409864580652,2.37,2.22,13.0,0.0,9.48396392550296,16.0885979415973,3.04236456507991,29.7279421201393,6.000000000000001,7.0,-1.5165282487869303,-1.87005805969238,48.8793769096891,18.3554054215666,3617.6109786919997,20.0,46.65625,-1.40446734428406
AGO,-1.33247494697571,3.17305056414187,9.25423745220691,-11.3965375672323,15.1612195404752,48.6111929660596,-1.13826775550842,2.0171468116685953,0.0,3.02,4.09883663447679,2.54,1.75,12.0,0.0,3.26544047447621,44.3525013427709,40.7647001999371,67.8356691588862,6.000000000000001,6.0,-1.06021749973297,-1.27295327186584,40.4058954859428,6.447359796596389,9128.36966151435,40.0,64.375,-1.12052512168884
ALB,-0.531616508960724,13.5082167685541,8.65738703548396,35.9460427642301,14.6327592953779,63.7720226945733,-0.27945321798324607,1.4645172043822,0.84,4.11,4.11167107281203,2.39,2.07,11.0,15.420847995617802,6.55594383866479,77.7259401076656,5.556318915609949,75.2725989114715,5.0,6.0,0.23328195512294786,-0.3857604861259459,41.3131845921318,2.5763597589837404,10553.6800443897,60.0,70.0125,0.12383822351694082
AND,1.3017727136611903,9.376662871124363,7.599634161581549,56.37740025757346,14.222241704819954,46.42240943764642,1.5127161741256698,23.4558060507799,24.99,7.09,8.76182217622254,3.5227164952815055,3.275095013439688,12.0,66.57052121288064,37.90379769711285,99.4762969039454,0.0150066679429884,99.6993261026052,6.000000000000001,6.0,1.3894268274307302,1.19792461395264,76.991211654261,-0.743107676302301,63419.40582323973,40.0,22.45625,1.3243083953857397
ARE,0.8908339142799381,5.26698896173513,11.957334917313498,9.162853816052191,14.875304348152998,45.03266233607027,0.918635427951813,5.29436365636421,1.5934978880381805,4.5950452278840395,10.955155631823247,3.58,3.49,11.0,27.1081380512275,23.0837646307234,45.2807505500825,10.0947547468288,52.209711888653494,5.0,6.0,0.31856533885002114,0.31741413474082886,49.0084607339479,1.5286577393498495,58139.69393853521,40.0,31.325,-0.903547346591949
ARG,-0.3552300333976749,1.84399576317014,7.23503359658627,-4.28010021630864,13.0004552665549,65.76204768743267,-0.1117919459939,7.68411002023335,0.11,9.02,11.001953592822602,3.1500000000000004,2.63,12.0,45.015518958527,26.1834763194443,41.0876355926798,13.5826861326035,43.4378454780995,6.000000000000001,6.0,-0.7429409027099612,-0.5980942249298101,51.4951802052167,7.089823508627149,25339.5799465251,60.0,75.1125,0.3616701364517212
ARM,-0.6950395703315732,3.04141129948019,17.7525801579801,7.280184097438189,20.2315556491257,60.4490098969926,-0.17152315378189095,2.32444864074289,0.7499999999999999,4.66,12.583808414648002,2.26,2.1,10.0,24.798131896096898,4.50878450357741,78.8858869659521,3.3090420235412794,62.089562457282895,3.0000000000000004,7.0,0.2689465582370762,-0.48135831952095004,50.808306916712134,8.522912732746352,8031.275689141621,60.0,62.14375,-0.847521543502808
ATG,1.3017727136611903,5.557064236229034,7.257656764152112,31.045417595861835,15.874750423334923,79.3031567255119,0.4877275526523589,4.64337414227521,2.16,3.05,0.8893816006756828,3.1801288862715573,2.9115897851151957,12.0,20.41547841568119,16.190622631412037,94.8220953796838,0.11592170279497697,77.4088074005777,7.0,5.0,0.642825543880463,0.952869892120361,73.6585518921479,-5.31521693477256,52423.59107346281,0.0,54.0,0.4958490431308748
AUS,2.02361083030701,2.14856125999861,4.62021662059414,19.841943107271096,9.63024998594609,67.8030279884226,1.7633913755416901,16.5133012608061,0.96,10.37,3.5562587640697196,3.8699999999999997,3.68,12.0,19.9422716012203,27.8166500071398,54.8600942354123,33.9106966569426,59.8129325314768,7.0,5.0,1.6959767341613803,1.75771832466125,65.7221133234751,2.1733500088146895,96250.7764945691,60.0,63.40625000000001,1.41976547241211
AUT,1.59612202644348,2.83071715205898,7.49275625624848,6.487889601874791,11.6546274432121,51.1471261884931,1.81252110004425,13.705373887804402,3.95,5.8,6.996140393828612,3.8299999999999996,3.49,10.0,59.9732364796687,43.777401358012405,89.7267997008626,3.1233571535761406,90.7836394420169,4.0,6.0,1.4505158662796,1.8012026548385598,61.63686838312451,1.698910740138839,78748.3294912845,60.0,61.19375,1.43029069900513
AZE,-1.24537324905396,6.739924864808093,11.136398763643976,1.7067821266084688,16.740919538761677,38.9419489628413,-0.8130171298980708,1.368551660922,0.01,3.47,3.40015776077547,2.65,2.14,10.0,17.2273848508812,7.96470821551429,77.6963475823631,9.6284572231936,57.569055518171794,4.0,6.0,-0.39255535602569597,-0.8911450505256651,28.216178028965,7.538609473784151,7570.80569449172,50.0,61.675,-1.30459702014923
BDI,-1.16890013217926,9.31523574939506,11.7057508282479,4.337990117534699,16.9350434849377,28.6547536458855,-1.12470984458923,4.539165377718941,0.44,2.36,10.177136219223614,2.0924471331275805,1.8676487755518787,13.0,23.9652074688406,3.08204159427868,83.7624972374308,2.58342209845598,54.31642258697501,6.000000000000001,7.0,-1.12236869335175,-1.2054010629653902,40.5940392163762,9.414774811588421,2692.95823047947,40.0,51.0875,-0.9426928758621219
BEL,1.4738299846649203,2.83293355859471,5.02588260701211,18.467088690206886,15.529544087583899,54.6691865984693,1.65420985221863,9.26523010448885,2.03,3.81,7.816475287744821,4.22,3.83,12.0,50.6193468461412,34.3854848223737,88.8315612433779,2.49947531738142,87.0363202989755,6.000000000000001,6.0,1.2828150987625102,1.41785252094269,67.916796056848,2.5729230892182398,88166.5832617363,60.0,51.14375,1.36068689823151
