Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.43037283420563,7.30144818922034,3.042076691818114,12.989374987459565,18.53010963565597,11.4832428883936,-1.37553513050079,0.0,0.0,0.15,6.72742833341948,2.1,2.33,13.0,0.0,9.04540630889217,1.07472570991571,1.56851347745908,28.6629251551235,6.000000000000001,7.0,-1.19257974624634,-1.6518931388855,50.5793979236606,3953.47593231936,30.0,49.16875,-1.26743006706238
AGO,-1.30240142345428,4.35011884491608,2.1272924209715702,9.55151655888075,15.0099330109978,49.0409375875333,-0.9889454245567321,4.535169034702128,0.0,3.7999999999999994,4.25725685925459,2.0,2.33,12.0,0.0,3.26544047447621,36.3630615066179,48.49154647926239,65.4790345640522,6.000000000000001,6.0,-0.990437567234039,-1.30477690696716,38.1528946330169,10682.013465569999,40.0,68.15,-1.07624673843384
ALB,-0.778729438781738,21.194987679205497,0.4452302326846597,7.9299126269953195,14.6319385088039,63.63327324232499,-0.26892501115799,0.922637018907313,0.39,2.97,6.4153570442262,2.65,2.43,11.0,14.6909538260186,17.0950463301496,80.2768590060988,2.87508832320021,73.5723064604358,5.0,6.0,0.2404919862747192,-0.519839763641357,43.5059236088597,11248.569361440499,60.0,70.53125,0.022064037621021385
AND,1.26053082942963,10.170556875883898,-0.555927574646863,7.252919635106606,15.08939811112667,57.05760257604396,1.5233460664749103,20.6476573542829,22.8,7.36,8.14995737429318,3.502687663477523,3.343438830124398,12.0,68.64869568378842,42.74910676588342,98.1556926159248,0.3302908878269569,99.6315270995627,6.000000000000001,6.0,1.5618600845336899,1.4011877775192303,76.8249491306888,62379.39491724205,40.0,23.45625,1.4338376522064202
ARE,1.1557362079620397,7.12965175228017,1.50171644993262,12.993306020068,16.6038834431698,91.1503789681781,1.1628236770629903,3.7666599932312805,7.49,10.99,8.161179950908188,3.81,3.61,11.0,27.551265210175,37.7825506911788,50.3810262296368,12.6629042539638,50.755452763468796,5.0,6.0,0.6709921360015869,0.5343596339225771,44.015877615363,58351.97643565059,40.0,32.85,-1.00081920623779
ARG,-0.44590920209884605,1.53673589612636,4.349869027694331,7.2475325307913,11.9419657372297,64.46500723128074,-0.206967011094093,6.63636695569979,0.11,8.31,12.3128038476995,3.3,2.45,12.0,46.721011315129694,26.269553766795198,40.8593647193357,12.116389445749098,46.0635131581908,6.000000000000001,6.0,-0.8976867794990541,-0.6230342388153078,53.6581179163924,26325.9354069191,60.0,76.4,0.2952099144458772
ARM,-0.5880014896392819,3.66922217057882,2.4737165661434104,13.5296315420868,15.1991921937308,70.2392977811835,-0.03238662332296376,2.85090173545628,1.26,3.69,6.971273010205651,2.57,2.27,10.0,16.8857682485427,4.50953273200374,79.3471479713114,2.44760307016514,64.3473775237698,4.0,6.0,0.334273397922516,-0.418281972408295,45.6989324054448,8023.835597367819,60.0,63.68125,-0.5704914331436161
ATG,1.26053082942963,8.483912362398522,1.6428722656188193,7.102882740913922,16.849999715499766,87.5450659180295,0.48122963309287997,16.714015548638628,11.61,3.5200000000000005,0.9687231768873639,2.8991360803724215,2.8616782683677706,12.0,34.59974671202188,17.942716856108017,94.6021110222033,1.06682928666375,80.6173385121123,7.0,5.0,0.5992722511291497,0.9457190036773679,72.675906501627,41641.97597369048,0.0,55.6,0.6400569677352907
AUS,1.9775072336196897,1.70189150824109,1.2286208551485698,4.75557889210946,10.618083360744,70.9639709958857,1.61314845085144,17.2855553325245,0.88,8.89,3.7150279694896295,3.79,3.6,12.0,19.6446447771602,27.9457482175955,52.61094450691791,38.6665225391274,60.3445216183815,7.0,5.0,1.7788971662521402,1.7597795724868799,65.156327929036,98364.0806288246,60.0,64.3375,1.4991903305053702
AUT,1.42725443840027,2.8133647663054506,0.43730727344330494,7.7701136425421,12.939180401182199,54.0433339480332,1.56018972396851,14.5446789024689,3.89,5.14,8.66027089352987,3.97,3.7700000000000005,10.0,61.0582606984716,44.6419662370848,89.6190417314573,3.06662162726239,90.0671675893437,4.0,6.0,1.51716470718384,1.8571237325668297,61.3539590600962,80709.2819667894,60.0,63.2125,1.4487730264663699
