Country_ISO,Control of Corruption: Estimate - WDI,"FB_BNK_ACCSS - Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) - Goal 8 - Sex: BOTHSEX - Education level: AGG_0_1 - Location: ALLAREA - Reporting Type: G - Units: PERCENT - Age: 15+ - Nature: G - Quantile: _T - SDG","FB_BNK_ACCSS - Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older) - Goal 8 - Sex: FEMALE - Education level: _T - Location: ALLAREA - Reporting Type: G - Units: PERCENT - Age: 15+ - Nature: G - Quantile: _T - SDG",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.36493408679962,4.8284903168678,3.812425583601,16.240109563559855,1.8629153637967573,12.214647845140085,19.39546892532664,11.538137434147,-1.36164617538452,0.0,0.0,0.09,8.61398975535739,1.8477759999999999,2.163453,13.0,0.0,9.50743390124228,4.23166006923636,3.7257077156234306,7.41830306479005,6.0,7.0,-1.12413370609283,-1.4377019405365,52.9908650351499,4082.1283067959,30.0,49.3125,-1.13552260398865
AGO,-1.45822596549988,14.3491074442863,22.3316460847855,10.1905320738466,0.8733446087955137,8.91289884359989,15.2584477058628,32.8119078393592,-1.05657386779785,3.842743798512438,2.4177408973009813,2.84,2.20620102404689,2.58895,2.368421,12.0,0.0,3.26544047447621,38.2626572173845,48.8789175388251,66.1808968712161,6.0,6.0,-0.860683441162109,-1.07495403289795,44.0532339009099,13038.858919906601,20.0,66.4125,-1.14532363414764
ALB,-0.5865718126297,24.0050718188286,33.5942327976227,21.4603340500502,1.09666730461025,7.42400985630468,13.8626483630205,64.9447998652785,-0.049770809710025773,0.257234804303144,0.07,1.02,6.59772888501563,2.58251948140727,2.5690853208316584,11.0,3.87132644220823,6.6282662687677,75.9912983752844,3.3034255212644696,71.1758569689583,5.0,6.0,0.279037684202194,-0.31119909882545493,42.6575638095964,12470.9851109,50.0,67.5375,0.14368978142738298
AND,1.2206939458846997,100.0,100.0,18.190478767269738,0.18318655986884283,9.241979031534663,26.082944975527266,58.67974443403933,1.71216595172882,20.6864866224754,21.65,6.719999999999999,4.822167284726449,3.5704057852237665,3.5470129144018925,12.0,56.88007994879103,37.581397857988286,89.6802177889746,13.879766473577005,99.6786223377925,6.0,6.0,0.8807482719421391,1.6386052370071396,78.2437091148297,76004.2799608857,0.0,22.3625,1.16595566272736
ARE,1.1988099813461297,64.4202172756195,67.6806211471558,5.31214096469623,1.8786511315843697,12.5184598126835,16.2300767458816,66.477279815584,1.45158290863037,10.1695189703589,2.25,4.38,8.248919082614007,3.574286,3.41979,11.0,21.4936488258099,37.8286131158646,52.85716014235099,14.922448737694802,57.229824349241,5.0,6.0,0.9875151515007019,0.6510024666786188,48.6341910716357,60879.3641762715,40.0,32.3625,-1.06146609783173
ARG,-0.549791395664215,52.26770043373109,50.852358341217,1.79255873857878,6.105320996037339,9.99137338188928,13.6801282818691,49.9504541079651,-0.11111429333686777,7.06113490427245,0.23,7.410000000000001,10.7750437433971,3.150335,2.546248,12.0,49.1286766379945,25.4786952520741,38.3817772223589,14.351377123856501,47.6148570816444,6.0,6.0,-1.0661495923996003,-0.8666273355484009,52.9405434663365,26340.013678877196,60.0,79.20625,0.34527176618575983
ARM,-0.5654467940330509,6.1310302466154,14.744749665260299,6.96975042813576,0.9982674505733392,11.6291669717805,12.6869052528652,79.7033947438883,-0.2573297619819641,3.02163379158599,0.26,3.5100000000000002,8.0129783350626,2.5000000000000004,2.625,10.0,15.2535239357442,4.50979558895947,64.2217977337448,12.893911009380602,64.9542181060579,4.0,6.0,0.1585199087858199,-0.4177267551422121,47.4130437470384,8484.30417192145,60.0,64.33125,-0.562132000923157
ATG,0.634795427322388,67.0865648582696,59.304313618402844,12.435990371817574,2.550645269706747,10.246696318941266,22.267431596432935,74.0595062271702,-0.07087974250316634,0.0,2.23,3.83,0.8651538431294159,3.027034547086898,2.9300957902744087,12.0,16.43551961971276,10.393554196118762,87.4556758332032,0.265550039081359,76.2145222253071,7.0,5.0,0.5293739438056951,-0.1757842004299161,73.9444622042654,39634.17659298196,0.0,56.8125,0.5587059855461121
AUS,1.84927213191986,100.0,99.03623461723329,1.01384449933768,1.2430922899088697,4.69700335511658,10.5727968598811,74.0600905380081,1.60089492797852,18.9961304703814,1.08,9.18,4.00269341940974,3.814925,3.853854,12.0,17.8166589034236,27.260421187509,49.5100023657209,43.9281283119684,57.2835143427085,7.0,5.0,1.85737347602844,1.9186308383941701,65.630632060795,100601.139756528,60.0,64.61875,1.3616741895675701
AUT,1.4665018320083603,96.3620960712433,97.3726689815521,3.47337431453068,-0.04341984825243988,6.84191575882635,12.2751206443515,53.7978701599076,1.5529956817627,15.4904490132481,4.28,5.25,9.52672626702794,3.934276,3.5312430000000004,10.0,61.9364064732612,45.3987519217349,90.1174396189318,3.16806413778196,88.7699223327582,4.0,6.0,1.4821701049804703,1.9384361505508398,61.84159221391149,80423.0674477248,60.0,62.85625,1.3912960290908802
