Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.54022777080536,19.362227564925867,14.295124636979507,25.84466222844,18.4820308198916,48.4419793608117,-1.2914680242538503,0.0,0.0,0.26,14.9342855823966,19.575,71.47864368020237,1.772402,2.011147,13.0,0.0,8.46474928755978,4.41136390175727,0.921801942090049,12.5136798559536,6.0,7.0,-1.33969509601593,-1.5225336551666298,59.0232164144095,1.9794827120434597,3691.60532820002,70.0,6.733333333333329,54.80625,27.0916666666667,40.0,-1.03783690929413
AGO,-1.48399043083191,11.2850858065096,10.828305955316802,19.2156399715331,45.6098600893469,15.720768973207798,-0.9714935421943661,12.9883050935056,0.030000000000000002,2.3,3.0466703538675395,30.5666666666667,75.61522623496563,2.211879,1.796833,12.0,40.0510871239066,3.52838160898955,33.0942796543636,52.84068823618729,64.0608846433035,6.0,6.0,-0.969250917434692,-1.0039502382278398,46.7231427013984,-4.03511054603707,11655.7279294878,80.0,7.6666666666666705,70.44375,38.8666666666667,40.0,-1.14032745361328
ALB,-0.472373723983765,16.5545127518585,8.74722800678583,13.807724790776,63.4469027816352,26.454307837547095,0.02908236160874391,0.784313365143227,0.27,2.94,4.74778203546062,58.29166666666671,74.125,2.151499,2.234391,11.0,10.1886855480472,4.4681507380307,80.9086579523698,3.2003025958723197,70.654975329022,5.0,6.0,0.18660762906074488,-0.32263198494911205,43.4481768975831,4.488281355634921,12042.870486815202,100.0,18.1333333333333,63.1,63.29166666666669,80.0,0.17109750211238903
AND,1.1594114303588903,14.00425877891088,7.62551066958472,22.142595288481434,51.43986520962884,50.925693687659994,1.80540561676025,24.4309106376305,24.2,6.49,6.3222007470499895,60.48056204293237,74.85646859529098,3.380442675787068,3.4852246465829704,12.0,67.78969263443827,43.0819548297268,93.88444108416921,11.325671578839579,98.8253351807165,6.0,6.0,0.8604767322540281,1.51293611526489,78.1008536948862,2.9619377162629794,70581.70502886668,40.0,28.661611680925102,26.10625,60.0854127691337,55.869460218915975,1.1764457225799598
ARE,1.13167703151703,4.79735362210193,13.1515333766196,17.2502673610117,24.4317566998979,29.723340145889303,1.4101870059966997,2.61902840521391,2.09,5.54,8.170130928729582,51.1166666666667,71.87718667993997,3.9086579999999995,3.8350509999999995,11.0,21.6086919187269,35.9194621757436,55.1591152452344,12.0009590757996,53.3907770743745,5.0,6.0,0.9599183797836304,0.8190379738807679,59.3842734203798,5.970131348488049,60784.429013813504,80.0,10.6333333333333,38.45,49.4333333333333,55.0,-1.05007648468018
ARG,-0.299235552549362,1.70027750562075,8.86871247168992,15.2283883381639,45.3089425781739,21.3657718875906,0.21879637241363514,8.9823994804111,0.09,8.44,12.1728743487956,66.8666666666667,76.68421839432413,3.260731,2.628572,12.0,44.1184934512704,26.9204760768435,40.4969047031897,17.8212781241316,41.9095824660285,6.0,6.0,-0.347571164369583,-0.320159524679184,56.1222358547004,-0.008736041469447158,26276.5971667684,70.0,75.6,79.825,66.9166666666667,35.0,0.49326366186142
ARM,-0.659795224666595,6.724111250589089,12.9515014151532,16.4302232599017,71.7477673207753,24.9148030729994,-0.31255441904068,6.13769143045383,0.18,4.9,10.3480559893755,60.2416666666667,74.624,2.021886,1.946664,10.0,10.7068893464023,4.33308161296177,69.9924969554554,5.53512401480676,62.5603575293432,4.0,6.0,0.20515838265418992,-0.1608944982290271,49.9105094267778,3.39999999970368,8584.405987304,100.0,84.4666666666667,75.65,63.59166666666669,75.0,-0.579092621803284
ATG,0.6453676819801327,8.655527,6.322445,32.771108,50.844620766197856,42.181290128990746,0.21799221634864824,0.0260556980755776,0.81,3.14,0.8599115912151531,34.45183557352663,80.8029399690169,2.9572286161513373,3.0255929939056023,12.0,26.44852124474756,21.94792794144792,96.8042092300194,0.068617073923416,81.085266214005,7.0,5.0,0.3284309506416321,0.4727164208889012,71.1511637447693,2.7690462844046397,54835.76848652916,40.0,14.578104546902003,52.08125,33.43122372247208,25.0,0.6335365772247308
AUS,1.7722519636154197,0.947676353339703,5.44397257111967,11.4295065572508,74.7922772797881,33.9098105131775,1.53218841552734,20.6275044745549,1.31,10.0,3.39104131793731,78.2916666666667,81.42,3.871699,3.543957,12.0,21.8180222008308,26.69576698723,50.6339465810477,42.374000003745,55.2722184252935,7.0,5.0,1.88573145866394,1.7166656255722,68.1551944466641,3.457464847358849,101395.145003204,80.0,89.2666666666667,69.525,78.2916666666667,100.0,1.35410094261169
AUT,1.4968805313110403,2.69521741465076,7.334234175494999,14.4878542616533,54.26508891739619,48.4772460347643,1.4748106002807602,14.4532591877111,3.7899999999999996,5.4,9.43717103559784,80.25,76.749,4.355787,3.7908739999999996,10.0,62.5325872295178,45.4270338644942,90.1186060412706,3.4037860141006298,89.702379229401,4.0,6.0,1.42889010906219,1.76146185398102,61.76435196431701,1.5193179805564507,80115.098904782,100.0,90.5,69.19375,71.9166666666667,100.0,1.3378478288650502
