Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary government expenditures as a proportion of original approved budget (%) - WDI,Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.50287592411041,6.365580516385849,13.252704941390252,2.8682080881934757,12.58278274134984,19.661754192919336,62.77109878296145,18.914198486374744,-1.50175786018372,0.0,0.0,0.19,9.97759368519341,15.575,76.92509685100559,1.7,1.73,13.0,1.38006231774178,6.41240942152383,4.34499508014363,3.45987375409735,13.7793611225924,6.0,96.3114,7.0,-1.13820362091064,-1.68912386894226,59.477422910665304,3471.6931875341,70.0,59.900000000000006,68.75,23.091666666666697,40.0,-1.00768673419952
AGO,-1.19948387145996,12.025020411323545,23.2217366851526,6.34735221999273,14.183145030062398,26.9306414920086,47.7763478724836,21.0433457251641,-1.00525164604187,23.3127754550372,0.010000000000000002,2.52,4.89911877603347,28.8666666666667,75.68275381529156,2.0,1.57,12.0,13.5289490060101,3.27173313103798,22.7774083425258,64.1016037682788,52.76960538714359,6.0,93.9295,6.0,-0.8006831407546998,-1.00106203556061,43.9574616765439,11348.4957202604,70.0,57.3,69.99375,35.5666666666667,40.0,-0.903594315052032
ALB,-0.546018898487091,16.4676840857403,10.4273900688183,1.4602295196193897,9.15081252889815,16.9874011204504,68.1614364552182,27.4788846542109,0.08052453398704534,0.0447019828200661,0.020000000000000004,1.86,2.22991910767152,59.4416666666667,72.099,2.67,2.35,11.0,4.80494222712581,4.60902290572876,80.1417746498418,1.9877445552567399,69.4317195428327,5.0,95.791,6.0,0.256079822778702,-0.414752036333084,44.3970282534603,11811.297894137,100.0,69.7666666666667,73.775,64.4416666666667,85.0,0.18878659605979908
AND,1.17894005775452,25.131754804345952,9.790258996132922,0.08678287852205199,7.25864158383986,24.632669063744256,56.20283869206267,55.786752592929865,1.87921941280365,28.4603950348388,26.38,6.28,7.568614609286938,46.40896750513983,79.91247200791638,3.520405669691734,3.336011501302577,12.0,67.58302275615067,41.84364601316051,83.77847747406278,19.50580671519476,97.097510495936,6.0,103.65457239187738,6.0,1.18732905387878,1.53650796413422,77.6557919031876,74553.71456015624,40.0,53.79551477410433,26.1,46.1519106821673,47.70414456568223,1.0470391511917103
ARE,1.11705148220062,47.2900009155273,5.25650797811494,1.54586919307041,12.1610965391164,16.2363040524785,50.8900505801741,30.4612133687264,1.42633962631226,2.90326432456259,7.06,13.300000000000002,8.196700203245161,52.5916666666667,80.23900000000002,3.96,3.63,11.0,18.7138631407475,37.4891696614907,52.1291574421866,15.1099943447892,50.325039667761,5.0,106.2764144791706,6.0,0.9198547601699831,0.774245142936707,53.5503724759063,57824.93985266709,100.0,36.8666666666667,41.825,52.6083333333333,65.0,-1.1226601600647
ARG,-0.09927392750978468,10.954198308508163,2.95778551361675,5.38642731915779,8.64866000515038,14.2302351551594,43.3386260443741,17.7203604548825,0.02806061878800386,5.40298410146417,0.06,7.570000000000001,14.601915980389002,63.0916666666667,79.577,3.0499999999999994,2.42,12.0,46.2427556681816,25.039264203132802,41.4029407100719,15.6087205665252,39.5718950306735,6.0,114.5958,6.0,-0.19597762823104897,-0.2193304300308231,56.369750272181804,25861.2230984097,90.0,79.4666666666667,78.80625,61.4416666666667,35.0,0.5392525792121889
ARM,-0.4093694388866419,24.2692468209224,4.75439825091817,1.20916230096881,12.5027652041209,15.2192219070455,84.8919733354721,23.4014283419864,-0.1705826669931411,7.10147421496599,0.32000000000000006,5.45,10.7050542617707,59.941666666666706,74.291,2.51,2.57,10.0,14.7368395178609,7.054559176371269,77.7115335514436,4.54322596392849,61.7525279328046,4.0,98.7635,6.0,0.35059028863906916,-0.19721436500549303,52.6163051198371,11185.9584894335,100.0,84.9666666666667,82.04375,63.2916666666667,85.0,-0.1309651583433152
ATG,0.236501798033714,12.2774796193585,6.350929,1.3521650000000003,6.998994,27.566964000000002,55.262067557178675,41.777713669115066,-0.05354204401373849,0.613426844678628,1.24,3.75,0.748968478910917,35.469143731049805,84.912,2.8747424311901155,2.7482579044676867,12.0,28.42448576350996,19.33148248445049,94.3282170337875,0.206390649147255,80.6738794419872,7.0,89.83982,5.0,0.40130996704101624,0.3764334917068478,67.9048534037132,42186.06436963287,60.00000000000001,55.44907959833619,52.06875,35.25808466433475,20.0,0.578873872756958
AUS,1.7674548625946,31.75,0.901855193874304,1.38303615588326,5.91854176977054,12.686581720221602,77.9013289609178,34.5946214208669,1.5559899806976298,18.1371018191307,1.0,10.36,3.3459083712013604,74.4666666666667,78.824,3.82,3.87,12.0,19.4679644840823,25.984379003710696,48.6179159011901,43.9962395133693,54.13273451782711,7.0,99.5212,5.0,1.89657723903656,1.6746655702590905,66.5920108343803,102316.764135827,80.0,92.6666666666667,74.6875,74.4666666666667,100.0,1.3937858343124399
AUT,1.56858718395233,14.795608909171898,2.90095686469682,0.904344381003254,7.54886985856162,16.2707236016648,56.3318795213112,48.8707649956226,1.45611667633057,11.6500759838374,3.41,5.26,10.223977773952,79.75,76.643,4.09,3.71,10.0,61.1841677081465,45.256768737639,89.7895668807882,3.68011994046588,88.3537737165241,4.0,99.73689999999999,6.0,1.5240364074707,1.8534830808639498,62.2430323743685,80842.4898130983,100.0,91.3,76.475,71.4166666666667,100.0,1.3995492458343501
