Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.49336087703705,13.32710756408461,2.0615453673283604,16.27952839126738,80.91775525217693,57.72122973897675,-1.61153948307037,0.0,0.0,0.65,7.8285162401741095,20.4,57.91,13.0,0.34096398983307297,8.46496563965005,7.04116793174954,7.233217409782001,13.3676739995554,6.0,7.0,-1.3891630172729499,-1.83140671253204,52.5721090890613,-5.916751604059361,3432.5352339682204,80.0,59.4333333333333,72.15,21.216666666666697,45.0,-1.07826685905457
AGO,-0.93506121635437,12.2238112230323,-2.76491389924244,17.086856191151,35.8480643750808,50.375181853946074,-1.25748455524445,23.394621384716405,0.01,2.85,18.4351987850453,43.2166666666667,72.86583601524585,12.0,19.9245498463986,2.9851377714091796,21.7960540567974,67.7390003964783,56.591192505010206,6.0,6.0,-0.8568534851074219,-0.9510588049888608,45.3591604963738,-5.750860176493702,10939.6222690949,80.0,62.7,69.9,48.25,35.0,-0.816005945205688
ALB,-0.573538780212402,7.65009174813949,1.2858332296890598,17.2253643405423,46.937267849233,55.67062316550422,-0.1551212221384051,0.285854495639881,0.04,2.62,3.23621181177001,73.025,75.903,11.0,8.41383121228382,6.309991588214281,77.8444411244557,2.33172975777674,67.1566244825442,5.0,6.0,0.22196723520755793,-0.37802821397781394,45.7213497398907,-3.9358755697404617,11850.0384265879,100.0,68.6333333333333,78.2625,64.6916666666667,95.0,0.08632544428110098
AND,1.26545393466949,12.0931317117545,0.4846264999922367,23.93534523765929,55.64879630929024,40.50124395975119,1.7492413520813002,23.0406088299837,21.3,5.880000000000001,5.15972527394617,47.996766898436135,82.19452451217873,12.0,57.903097603528394,35.29603734702131,68.83645122543695,27.838700144743935,97.3502269793651,6.0,6.0,1.33542132377625,1.61518156528473,79.8154154929299,-8.594721769566762,62053.952297065305,40.0,55.40277518500466,34.25,43.96682447189288,10.0,1.08533525466919
ARE,1.0836139917373702,7.57146032262558,0.6690091743546502,16.9782421287167,38.6690568272087,37.8392166242432,1.2852668762206996,5.37704492826553,9.05,13.26,12.489798538952533,57.4916666666667,77.30265259001173,10.0,13.354095825221203,40.80474789873929,48.971264787401296,15.054024713510598,43.376611158588,4.0,6.0,1.07433104515076,0.8751359581947331,58.71544595201411,-9.92581588014401,53077.7059321534,90.0,45.3,64.7125,55.8583333333333,75.0,-1.17806625366211
ARG,-0.16357006132602708,4.15006400338998,3.47258953164076,22.3423799869358,69.2200197388007,41.4919089055146,-0.254261821508408,6.90388925607922,0.07,9.05,20.9927501850158,59.35,77.242,12.0,36.383623583927,26.2580690795814,38.8830342809519,20.5026190003547,37.0009921160084,6.0,6.0,-0.498344272375107,-0.48626595735549893,54.8578674557962,-10.561133930038002,24015.5390707473,90.0,80.8,81.2375,73.55,35.0,0.584501206874847
ARM,-0.0034749738406389306,6.55481572888625,1.28341851216895,14.7013585293704,108.798496809401,71.73894105817192,-0.30454742908477805,7.14063667161287,0.42999999999999994,4.92,28.8556898152257,60.89166666666671,73.862,10.0,11.9105079721815,8.3120055254733,69.4516318435223,11.569124627356,58.90475638976219,4.0,6.0,0.238748028874397,-0.12583142518997198,53.2412027973394,-8.700000000541191,10274.728052909,100.0,84.9,83.9,60.8916666666667,84.99999999999999,0.04734789207577727
ATG,0.23903852701187103,7.398022,0.42364199999999996,28.58009,42.584291,47.93414708430226,-0.20479480922222112,0.0,0.0,1.3007245527210862,0.912605827998774,47.775000000000006,75.692839904862,12.0,18.535145372350414,13.629100734651821,7.9558804707251,0.0080882585256229,79.8362354722775,7.0,5.0,0.49769371747970614,0.4073811471462248,67.8301000676913,-22.328865092023,26491.64369057182,60.00000000000001,28.866666666666703,59.06875,49.425000000000004,25.0,0.7415947914123537
AUS,1.63298058509827,1.10778271314938,0.38855004862513104,13.9885740630018,37.0115255193334,66.2136425657845,1.5733532905578602,21.4757898705835,1.04,10.98,3.86127547831477,73.9666666666667,78.31500000000001,12.0,15.333354810498001,27.3357562202963,48.2963149754656,46.818957427063,53.3072171496599,7.0,5.0,1.8139469623565698,1.6150035858154297,66.2547020974296,0.569205220575069,104849.816716991,80.0,89.7666666666667,74.90625,73.9666666666667,100.0,1.29898488521576
AUT,1.47770941257477,2.38904558369577,0.42972703302727605,17.3768481860298,78.0292710566669,46.6177721187708,1.60586321353912,12.2718957660446,3.09,5.480000000000001,13.790753531074,77.45,76.765,10.0,62.5373078595188,44.7478353463958,90.1962231093238,3.6597986080962603,89.2730829833855,4.0,6.0,1.3952273130416901,1.77060890197754,62.8123620241372,-6.3674721553765705,77281.6199951113,100.0,92.0333333333333,79.4125,70.8166666666667,100.0,1.39462888240814
