Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AFG,-1.18368434906006,3.98425006866455,11.648484981065447,3.56714329469515,10.14871656328674,89.52544196616093,-1.8800348043441797,0.0,0.0,0.21,7.667655438559878,66.6633091143094,1.6,2.1,13.0,0.34096398983307297,8.46496563965005,12.8798243603794,3.03518771245022,13.3341398269609,6.0,7.0,-1.27180624008179,-1.65984559059143,34.1,45.04990879985909,2930.15071218144,80.0,60.0,74.15,25.7916666666667,55.0,-1.75352871417999
AGO,-0.6123757362365722,12.84122098306302,12.466458192581609,3.0084111163664233,11.654967463837359,93.40909024211658,-1.02603423595428,22.0635039995781,0.02,3.3,27.1675572912458,75.67070072711304,2.3,1.7,12.0,11.9961883387039,3.56432794111089,37.4386592617723,49.64102247301301,61.26169991338121,6.0,6.0,-0.606698572635651,-1.02203571796417,37.7,43.7734824749089,10341.8510922223,60.00000000000001,60.7666666666667,69.74375,44.324999999999996,40.0,-0.8075779676437381
ALB,-0.408189445734024,19.8346436163563,4.78957460572704,1.3825199516730498,8.59552115400606,39.57941987204501,0.0645405352115633,0.0596409977568037,0.01,0.21,3.25908736035556,77.472,2.3,2.4,11.0,25.7353927601545,5.23297976274214,78.9028726346395,2.0909443702668,64.2672709082162,5.0,6.0,0.159353822469711,-0.16558510065078708,61.3,46.2991272417493,13294.7918505266,100.0,69.7666666666667,80.05625,72.3083333333333,100.0,0.14174018800258611
AND,1.27027237415314,25.0400009155273,17.194890791666943,-0.5035407496956756,7.24876075703178,55.67569676641879,1.49526071548462,13.3076613572665,12.56,5.89,4.71903721684595,80.19653707361816,3.6179916653464517,3.3150199023896914,12.0,32.024229739215706,29.608492949174163,70.36698812291937,17.764286437294373,97.31214558336,6.0,6.0,1.39833402633667,1.48548305034637,47.6,78.1918257115356,53550.76099786697,40.0,55.7666666666667,33.43125,57.6416666666667,15.0,1.10678911209106
ARE,1.1556144952774,51.0699996948242,6.55317267111426,1.4610765490287398,11.330673370473,37.7314261021577,1.29912793636322,9.2877602243891,0.0,4.246094622023077,11.857313210784405,77.87,4.1,3.7000000000000006,10.0,11.7919170159551,39.175060821175,45.129463228148,19.869330030312,41.2416012022989,4.0,6.0,1.0347807407379197,0.8360565304756161,69.1,49.9258038185875,56997.3276471556,90.0,79.5,69.2375,60.875,80.0,-1.12749147415161
ARG,-0.44722160696983304,11.005483145825007,3.09401335778846,2.8458933434053195,14.7473598162837,77.7557935628192,-0.28348970413208,4.75157524338594,0.03,7.95,18.8253969663899,79.559,2.9,2.7,12.0,41.9530404999652,27.706287501476705,40.0388275658385,18.0985413008228,38.9727583864702,6.0,6.0,-0.697565734386444,-0.4823518097400669,50.9,53.5341356683759,23729.9544339609,90.0,80.1333333333333,83.3375,68.875,60.0,0.5463169813156131
ARM,0.02790717408061038,24.2985191345215,2.39795961089628,4.09196130118911,13.7010929968287,102.389216270453,-0.3147923648357389,21.8475283435373,9.78,9.05,16.0670032676607,70.294,2.3,2.5,10.0,36.7391998176926,6.452844431799738,77.4347461071624,7.05313020073884,58.88860282082269,4.0,6.0,-0.01907880231738065,-0.16951580345630607,60.4,55.6162023383919,13429.509244458299,100.0,85.4333333333333,83.65,66.2083333333333,89.99999999999999,0.09032581746578215
ATG,0.31072756648063693,10.375671807095022,6.90908,0.7914580000000002,9.356308,48.92673799999999,-0.1600026637315751,0.0,0.0,2.3197150982028023,0.447600685178606,83.4049580940684,3.2,2.2,12.0,17.41295443936767,14.807182984895316,2.81717993791121,0.0364648443134428,82.9620455236478,7.0,5.0,0.2890869677066799,0.39078712463378906,29.799999999999997,68.4082282185752,29710.95047406424,80.0,26.9,60.53125,50.7666666666667,40.0,0.7245528101921083
AUS,1.7643671035766597,36.8400001525879,0.721666972849021,0.8954110783713662,5.8647335037465,41.163298425496,1.5284327268600504,25.8318704116272,0.7,8.52,4.09575337608575,78.775,4.1,3.7000000000000006,12.0,14.9482904556292,29.1257367387033,52.46995309164059,39.9296153920942,53.0223961357176,7.0,5.0,1.89489328861237,1.5088187456131001,60.2,63.36277687297109,103888.93234287699,80.0,94.0,80.48125,84.65,100.0,1.32390677928925
AUT,1.2585867643356303,32.91066699575748,1.99024379279404,1.0616112038255998,7.91700194289979,70.1017367419287,1.4649227857589702,14.9141702472602,4.88,6.33,12.6681761835011,79.946,4.2,3.7000000000000006,10.0,60.2928778285824,45.9544736232152,90.5008674619704,3.3994330086671303,88.8441266875984,4.0,6.0,1.2831997871398901,1.7042732238769498,53.0,62.4358937094137,85187.4255813939,100.0,89.5333333333333,85.03125,80.95,95.0,1.41365766525269
