Country_ISO,High-technology exports (% of manufactured exports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Lower secondary school starting age (years) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,SG_NHR_IMPL - Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%) - Goal 16 - Reporting Type: G - Units: PERCENT - Nature: G - SDG,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI
AFG,0.08336778981472297,5.221689349521577,13.0,6.0,7.0,0.0,39.5,43.06272476589629,1090.37546805933,66.6,65.1,64.55625,20.675,55.0
AGO,16.6897206933082,22.3087695729056,12.0,6.0,6.0,0.0,47.39999999999999,41.0551859909358,10213.7563217989,60.00000000000001,63.06666666666669,69.11875,48.57500000000001,50.0
ALB,1.52935344981595,2.98437302423959,11.0,5.0,6.0,100.0,57.9,48.6899937474805,14267.278906473803,100.0,69.0,79.66875,74.6,95.0
AND,10.373282395653305,3.91604925721238,12.0,6.0,6.0,0.0,50.6,77.5890386001388,30356.0746549104,60.00000000000001,55.0333333333333,51.6625,57.641666666666694,25.0
ARE,15.276609249921217,4.58026730740353,10.0,4.0,6.0,0.0,73.6,54.9012947560482,57147.9539858914,90.0,81.6,70.40625,68.74166666666669,85.0
ARG,3.85019697474113,15.740613131832,12.0,6.0,6.0,100.0,61.7,53.6514046050424,22776.2590545497,90.0,85.6666666666667,83.3625,72.925,70.0
ARM,23.640327051525897,20.1631222184293,10.0,4.0,6.0,100.0,63.4,61.98936974538851,14871.5987500572,90.0,86.2,82.76875,71.93333333333328,80.0
ATG,0.0,0.438625715881256,11.999999782140883,6.0000000706929635,5.99999970465479,0.0,32.8,60.06047466022795,22096.659796661726,80.0,62.9,64.9375,53.21666666666669,55.0
AUS,25.1586416457084,2.99559947820686,12.0,6.999999999999999,5.0,100.0,66.4,66.1399054113301,106830.776729574,80.0,95.1666666666667,85.2375,84.44999999999999,100.0
AUT,18.4525766859019,12.53916861103,11.999999881333363,6.00000010650628,5.999999769961492,100.0,65.0,63.9706809373681,82123.7955616105,100.0,92.4333333333333,89.05625,80.25,85.0
AZE,2.91095088102775,1.36999947912043,10.0,4.0,6.0,0.0,61.7,42.316344380506095,12274.892211269402,80.0,36.9,74.21875,66.32499999999999,90.0
BDI,1.0138262650863796,2.83883189635632,12.000000510327041,5.999999748699905,6.000000779231214,100.0,51.4,43.22195252649,2598.18416942733,50.0,42.4666666666667,70.03125,18.7166666666667,45.0
BEL,19.5770790979284,14.6697052675351,11.999999525427928,5.999999750826734,5.999999766101669,0.0,51.900000000000006,70.9861225353144,93919.0497021163,100.0,85.0,91.11875,80.175,80.0
BEN,30.5389584270212,10.270376241575168,11.99999940523745,5.999998787164941,6.000000621903617,100.0,53.5,48.8795399933978,3530.72816564738,90.0,71.3666666666667,74.4625,49.3083333333333,70.0
BFA,1.6454890195088903,8.649053506860234,12.0,6.0,6.0,0.0,66.9,43.9471331300685,2910.01490710622,90.0,78.4,79.20625,49.2333333333333,85.0
BGD,9.568361825186411,9.40739702764692,11.0,5.0,6.0,0.0,52.9,51.4166555046575,6579.75740525136,80.0,63.4666666666667,83.05,66.67499999999998,65.0
BGR,13.4299683659831,26.3409120366044,11.999998865419872,5.999997682549758,6.000001189935217,100.0,67.3,63.7625806598714,21210.2164498486,100.0,92.5333333333333,79.4875,80.75,65.0
BHR,9.25164974107328,8.26225513168993,12.0,6.0,6.0,0.0,62.7,53.1861438651827,42756.452789313,60.00000000000001,39.5333333333333,56.33124999999999,63.9416666666667,40.0
BHS,0.0,6.939297949703239,11.0,6.0,5.0,0.0,37.0,77.1859683694609,56014.2568970789,70.0,27.3,47.01875,36.9666666666667,75.0
BIH,6.163173570596641,13.5766902871611,11.0,5.0,6.0,100.0,51.4,56.5588566046908,19229.8556974135,70.0,65.6,73.76875,53.42499999999999,80.0
BLR,10.492474880461907,12.017266802091825,10.0,4.0,6.0,0.0,66.12023477141953,49.6802343028905,10542.1889386206,86.6,53.800000000000004,78.4875,77.1,90.0
BLZ,0.0001910876991115,10.0027782148162,11.0,6.0,5.0,0.0,49.9,62.4409630969452,15208.8698195126,80.0,67.7333333333333,65.4625,70.225,55.0
BOL,8.79395083358911,4.37227399023464,12.0,6.0,6.0,100.0,66.0,53.36246116287,5099.68106910155,80.0,67.9,78.06875,60.191666666666684,65.0
BRA,11.1103644206652,12.8530444076812,11.999998792555282,5.999997488502118,6.00000131215529,0.0,70.6,59.1707527174248,17774.3846518519,83.4,88.9666666666667,74.9,84.27499999999999,80.0
BRB,19.9263557583818,8.316776907277427,11.0,6.0,5.0,0.0,30.6,75.5343055861191,39573.2006579259,80.0,62.566666666666706,53.6375,52.4916666666667,60.00000000000001
BRN,1.06433459453488,3.60783930779079,12.0,6.0,6.0,0.0,55.0,38.9532912607223,33833.0466967502,80.0,72.2333333333333,61.5625,53.3916666666667,40.0
BTN,7.434892299972828,0.447055216258853,12.0,6.0,6.0,0.0,50.1,53.20468218705023,15380.40152583072,70.0,66.3333333333333,65.775,47.75,40.0
BWA,9.13958584722702,3.7792558648578,11.999999766899238,6.0000000780528415,5.999999681322226,0.0,42.0,63.4944869983258,19645.8165793794,50.0,68.6666666666667,75.1375,67.25,60.00000000000001
CAF,8.29978042191414,5.2171193164807,12.000000936198111,6.000000586766842,6.000000364790058,0.0,41.4,42.0803155255449,1844.01637266865,50.0,75.7333333333333,58.375,10.1,40.0
CAN,16.7779029827711,12.0365173749463,11.999999465334772,5.999999144358852,6.000000320402756,100.0,76.6,64.96334696588387,75152.0998638314,100.0,93.3,87.21875,91.275,90.0
CHE,29.2685601760352,12.7476065696781,12.0,6.0,6.0,0.0,69.6,72.0298166155219,148327.791072267,100.0,87.9,86.4625,84.19999999999999,85.0
CHL,8.31650307450688,5.66245224602403,11.999999551522237,5.999998875243423,6.000000682407656,100.0,70.1,56.07746918355691,26813.806176222,100.0,88.2333333333333,82.3875,81.275,95.0
CHN,26.2777380479223,16.9375279540385,12.0,6.0,6.0,0.0,48.2,56.7483417417827,30133.4813367065,73.4,43.9333333333333,76.6,40.7,55.0
CIV,5.25759412069948,8.950958802937889,12.0,6.0,6.0,100.0,42.5,51.85812090743071,7904.31049104345,80.0,76.3,81.33125,43.37500000000001,70.0
CMR,7.267113245293111,8.822726246614089,12.0,6.0,6.0,100.0,53.2,50.7191439587575,4743.45413624678,70.0,75.0,75.4125,39.825,70.0
COD,1.1856311034000246,1.26372827938891,12.000001155480483,6.000001650083065,5.999999509533683,100.0,35.6,46.5724593741029,1926.72575526179,40.0,62.8,64.25625,24.35,40.0
COG,0.0,4.238546816820997,11.99999960989667,5.999999499627352,6.000000107997202,0.0,26.6,45.01837302083081,5020.41008805449,30.000000000000004,29.1666666666667,61.3375,23.85,50.0
COL,9.02469704912672,11.3084802132614,11.999999599545738,5.999999002593565,6.000000602247896,100.0,68.1,58.1429719176746,13993.4295812676,80.0,88.3666666666667,86.325,82.5,80.0
COM,1.813032539713858,5.471580188275636,11.999999560989583,5.999999090150002,6.00000047422408,0.0,28.3,50.070252624186,4206.70979519889,80.0,33.6,72.94375,25.975,40.0
CPV,8.426069728149395,1.46367068401036,11.999998036609266,5.9999972924146014,6.000000735676547,0.0,48.8,68.7245545404623,12077.831796245799,80.0,31.799999999999997,64.66875,67.9,55.0
CRI,22.858799404965303,14.9311313455657,11.999999248146871,5.999998569374089,6.000000681776207,100.0,66.8,68.7833462139086,32817.6350312485,100.0,88.9666666666667,89.78125,81.17499999999998,95.0
CUB,8.613628133988232,6.840426811639077,12.0,6.0,6.0,0.0,51.7,73.391823647738,19918.1316382294,40.0,60.85753913091641,61.96874999999999,52.56549463242799,52.75049195045419
CYP,18.0329234506901,29.7104200257727,11.999998592945808,5.9999981328561365,6.000000452734218,100.0,51.0,76.4769046707826,40773.9316471333,100.0,86.5666666666667,78.96875,74.75,85.0
CZE,22.4045215279558,17.9113983125881,11.99999875525738,5.999998027937307,6.0000007260086115,0.0,57.9,60.1721452763251,38388.2830807741,100.0,89.0,82.6,78.45,85.0
DEU,17.9772990379432,11.4757887460968,11.999999640076625,5.999999727529871,5.999999907279836,100.0,70.7,64.0456505820091,78563.6106511712,100.0,95.3333333333333,83.84375,86.09999999999998,85.0
DJI,2.6805534596307816,6.86389417502454,11.999999338407344,5.99999897204096,6.000000365221646,0.0,31.8,76.0847593876274,16264.4120988607,40.0,28.2666666666667,55.70625,16.5666666666667,50.0
DMA,4.9301363142253285,1.64986456490733,12.0,6.999999999999999,5.0,0.0,28.5,56.9414724889515,21630.630744502232,50.0,29.9333333333333,53.14375,40.4583333333333,30.000000000000004
DNK,17.6194498489345,7.45621210752859,11.99999996280653,5.9999998237172845,6.0000001407611645,100.0,83.1,63.5495635161649,92033.3557533685,100.0,97.8333333333333,87.74375,89.675,85.0
DOM,7.68868351413961,0.35735921748541605,11.999999726426037,5.999998028396904,6.000001722449103,0.0,66.5,59.8121925635257,17164.0609122382,100.0,69.6666666666667,75.2375,46.175,85.0
DZA,4.165466997582488,1.72411735051471,11.0,5.0,6.0,0.0,30.2,46.7949847002474,17486.8116860673,60.00000000000001,58.9,67.9875,44.29999999999999,45.0
ECU,9.99836390672699,2.45421153353899,12.0,6.0,6.0,100.0,61.6,57.156644024501,15174.607902607098,100.0,89.0,80.275,60.016666666666694,70.0
EGY,3.81290087814207,5.79279538417286,12.0,6.0,6.0,100.0,64.6,48.932455490468,15091.5417335415,80.0,80.8,81.55625,73.3333333333333,75.0
ERI,0.0,1.7455213441264592,12.000000156521212,6.000000400027688,5.999999753999057,0.0,18.69117514214642,43.6097189188603,1090.37546805933,16.6,26.991292533173787,48.51875,9.74166666666667,10.0
ESP,9.28447661569937,10.3676098474106,12.0,6.0,6.0,100.0,78.0,68.9025484059134,60856.5713961401,100.0,92.3333333333333,89.68125,92.1,85.0
EST,18.382980141257,25.9425743305066,11.999998768547153,5.999998166230318,6.000000599043329,100.0,66.2,65.6971144966199,36448.1477427443,100.0,96.3,83.4375,84.19999999999999,80.0
ETH,4.537283254678264,0.559793640362197,12.000000847911611,6.000000385837253,6.0000004786856405,100.0,44.6,37.471940643257405,2860.21081940931,90.0,64.4333333333333,74.96875,34.3416666666667,45.0
FIN,9.28522659633957,33.3953910357505,13.0,6.0,7.0,100.0,82.3,62.2144997698967,81654.2902155657,100.0,98.2,81.55625,87.1,85.0
FJI,2.99874841417736,7.83213264109811,12.0,6.0,6.0,0.0,49.4,54.56842105263159,15772.7342997196,80.0,63.1333333333333,74.3,55.949999999999996,65.0
FRA,23.1371073769038,7.56867927222552,12.000000191462778,6.000001098304962,5.999999080661927,100.0,53.4,70.9141844211851,86038.6533903309,100.0,90.1666666666667,88.80625,77.875,85.0
FSM,2.0812748243158707,4.12967721779703,12.0,6.0,6.0,0.0,25.0,67.9119759103304,13804.059542906309,20.0,58.5666666666667,54.85,22.1,30.000000000000004
GAB,0.0,5.237682621127872,11.999999125459643,5.999999076786997,6.000000040557925,0.0,30.4,36.8219109135811,18749.8098443679,60.00000000000001,30.233333333333295,62.39374999999999,29.7833333333333,45.0
GBR,29.7179659620928,9.23708899585812,11.999999941570993,6.000000614827685,5.99999931530359,100.0,60.8,72.4462431770253,86176.4803159114,100.0,92.6,86.6625,77.625,85.0
GEO,3.738576186924,10.9296906577784,12.0,6.0,6.0,100.0,65.2,61.984588934603906,21366.5253609181,100.0,93.7666666666667,83.71875,81.09999999999998,80.0
GHA,6.803964284408642,1.41070797624362,12.000000326673508,5.9999998609122045,6.0000004767380695,100.0,58.3,40.9369495390296,5173.89541014972,70.0,66.7333333333333,80.2,56.75833333333328,55.0
GIN,6.355809394569239,51.7696629213483,11.999996257096566,5.9999934005933016,6.00000286325533,0.0,50.7,36.3402000064846,3374.00912512771,66.6,30.600000000000005,62.65,34.7166666666667,55.0
GMB,3.34757896376015,0.305249223942141,13.0,6.0,7.0,100.0,46.0,56.7898192312049,2714.81616766717,90.0,66.5666666666667,80.19375,48.3083333333333,50.0
GNB,0.02315543591684348,5.203850726205922,11.999998995108026,5.999998038729562,6.000000961531203,0.0,34.4,37.8848107222008,3307.51544796376,80.0,29.500000000000004,58.20000000000001,19.9166666666667,50.0
GNQ,0.0,3.9582241011731796,11.999999812452531,6.000000335634203,5.999999466338299,0.0,30.800000000000004,51.0975150164696,24503.8196289313,10.0,29.6333333333333,60.412499999999994,25.6916666666667,35.0
GRC,15.011494857431,3.18525209187134,11.999999868734303,6.0000007807407565,5.999999072100419,100.0,47.1,68.0104871945665,48679.2570094794,100.0,85.0333333333333,82.9625,79.925,85.0
GRD,6.4434446202485,0.664176957944334,12.0,6.999999999999999,5.0,0.0,37.9,65.7100896824668,24883.46301569427,80.0,28.8333333333333,59.34375000000001,45.87500000000001,40.0
GTM,5.39604303984542,11.9639534767402,13.0,6.0,7.0,100.0,56.6,61.839861654601,14989.5533836265,90.0,68.1,79.2125,69.4666666666667,90.0
GUY,13.3341087055182,6.52463724264661,12.00000020433303,5.99999944446233,6.000000774320564,0.0,46.1,14.4608458483035,17337.2260606558,60.00000000000001,66.8333333333333,64.75,33.7083333333333,45.0
HND,3.87334759570957,2.20095833422763,12.000000578633102,5.99999989074145,6.000000705138111,100.0,51.4,58.4090033001636,8330.22930960826,90.0,66.0,75.4625,36.95,60.00000000000001
HRV,11.6739199311189,7.68350505258354,11.0,4.0,7.0,100.0,57.5,60.8374324880176,36175.9065261077,100.0,87.5333333333333,81.76875,75.95,80.0
HTI,0.0,2.07111744478863,11.999999466901315,6.000000313953882,5.999999133878744,100.0,25.900000000000002,48.3129615585975,3821.71769289384,40.0,24.9666666666667,56.21249999999999,17.5416666666667,55.0
HUN,20.0996259812318,11.1075832784513,11.999999414654873,5.999998633641006,6.000000787379716,0.0,68.4,59.5231534203363,30633.0973072563,90.0,95.5333333333333,89.7,84.12499999999999,80.0
