,# nans 2010,% nans 2010,# nans 2012,% nans 2012,# nans 2014,% nans 2014,# nans 2016,% nans 2016,# nans 2018,% nans 2018,# nans 2020,% nans 2020,# nans 2022,% nans 2022,# nans 2024,% nans 2024
AFG,9,25.71,8,22.86,8,21.05,10,24.39,11,25.58,12,30.77,13,32.5,5,33.33
AGO,2,5.71,2,5.71,2,5.26,1,2.44,3,6.98,4,10.26,10,25.0,0,0.0
ALB,0,0.0,0,0.0,2,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AND,18,51.43,18,51.43,21,55.26,24,58.54,25,58.14,20,51.28,16,40.0,2,13.33
ARE,8,22.86,3,8.57,3,7.89,3,7.32,2,4.65,3,7.69,3,7.5,1,6.67
ARG,1,2.86,1,2.86,0,0.0,1,2.44,1,2.33,0,0.0,1,2.5,0,0.0
ARM,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0
ATG,12,34.29,12,34.29,14,36.84,11,26.83,11,25.58,9,23.08,8,20.0,6,40.0
AUS,0,0.0,0,0.0,0,0.0,1,2.44,1,2.33,1,2.56,2,5.0,0,0.0
AUT,1,2.86,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,3,20.0
AZE,6,17.14,6,17.14,7,18.42,10,24.39,10,23.26,8,20.51,4,10.0,0,0.0
BDI,4,11.43,1,2.86,0,0.0,1,2.44,12,27.91,7,17.95,11,27.5,4,26.67
BEL,2,5.71,2,5.71,1,2.63,1,2.44,1,2.33,0,0.0,1,2.5,3,20.0
BEN,9,25.71,9,25.71,11,28.95,12,29.27,14,32.56,13,33.33,9,22.5,4,26.67
BFA,8,22.86,8,22.86,8,21.05,10,24.39,11,25.58,11,28.21,11,27.5,1,6.67
BGD,6,17.14,2,5.71,4,10.53,2,4.88,4,9.3,4,10.26,3,7.5,1,6.67
BGR,0,0.0,0,0.0,0,0.0,1,2.44,1,2.33,1,2.56,2,5.0,3,20.0
BHR,7,20.0,7,20.0,8,21.05,9,21.95,10,23.26,9,23.08,8,20.0,1,6.67
BHS,8,22.86,8,22.86,11,28.95,10,24.39,12,27.91,10,25.64,12,30.0,1,6.67
BIH,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,0,0.0,0,0.0
BLR,2,5.71,0,0.0,1,2.63,0,0.0,1,2.33,0,0.0,7,17.5,3,20.0
BLZ,8,22.86,8,22.86,8,21.05,9,21.95,4,9.3,3,7.69,4,10.0,0,0.0
BOL,2,5.71,2,5.71,2,5.26,2,4.88,3,6.98,2,5.13,0,0.0,0,0.0
BRA,1,2.86,1,2.86,0,0.0,0,0.0,1,2.33,0,0.0,1,2.5,3,20.0
BRB,10,28.57,10,28.57,13,34.21,7,17.07,11,25.58,8,20.51,4,10.0,1,6.67
BRN,6,17.14,6,17.14,8,21.05,7,17.07,6,13.95,3,7.69,2,5.0,0,0.0
BTN,2,5.71,3,8.57,5,13.16,6,14.63,6,13.95,4,10.26,5,12.5,4,26.67
BWA,7,20.0,1,2.86,1,2.63,1,2.44,5,11.63,0,0.0,0,0.0,4,26.67
CAF,4,11.43,4,11.43,7,18.42,8,19.51,8,18.6,6,15.38,6,15.0,4,26.67
CAN,1,2.86,1,2.86,1,2.63,2,4.88,2,4.65,2,5.13,2,5.0,4,26.67
CHE,0,0.0,0,0.0,0,0.0,1,2.44,1,2.33,2,5.13,3,7.5,0,0.0
CHL,1,2.86,1,2.86,1,2.63,1,2.44,2,4.65,1,2.56,2,5.0,3,20.0
CHN,1,2.86,1,2.86,1,2.63,1,2.44,3,6.98,1,2.56,10,25.0,0,0.0
CIV,6,17.14,6,17.14,7,18.42,7,17.07,10,23.26,9,23.08,12,30.0,1,6.67
CMR,3,8.57,1,2.86,0,0.0,1,2.44,1,2.33,3,7.69,4,10.0,2,13.33
COD,11,31.43,11,31.43,12,31.58,13,31.71,3,6.98,2,5.13,6,15.0,4,26.67
COG,1,2.86,1,2.86,1,2.63,1,2.44,3,6.98,2,5.13,6,15.0,5,33.33
COL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,2,5.0,3,20.0
COM,6,17.14,6,17.14,7,18.42,10,24.39,10,23.26,8,20.51,18,45.0,5,33.33
CPV,8,22.86,8,22.86,12,31.58,13,31.71,11,25.58,10,25.64,14,35.0,4,26.67
CRI,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.5,3,20.0
CUB,13,37.14,13,37.14,16,42.11,18,43.9,19,44.19,18,46.15,15,37.5,5,33.33
CYP,1,2.86,1,2.86,2,5.26,2,4.88,0,0.0,0,0.0,0,0.0,3,20.0
CZE,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,1,2.5,3,20.0
DEU,6,17.14,6,17.14,5,13.16,6,14.63,7,16.28,6,15.38,3,7.5,3,20.0
DJI,17,48.57,11,31.43,11,28.95,10,24.39,10,23.26,9,23.08,9,22.5,4,26.67
DMA,11,31.43,11,31.43,17,44.74,11,26.83,15,34.88,8,20.51,10,25.0,2,13.33
DNK,1,2.86,1,2.86,2,5.26,1,2.44,2,4.65,1,2.56,1,2.5,3,20.0
DOM,2,5.71,2,5.71,2,5.26,2,4.88,3,6.98,9,23.08,10,25.0,3,20.0
DZA,0,0.0,2,5.71,3,7.89,4,9.76,8,18.6,8,20.51,6,15.0,1,6.67
ECU,2,5.71,2,5.71,0,0.0,1,2.44,3,6.98,2,5.13,5,12.5,0,0.0
EGY,6,17.14,6,17.14,6,15.79,9,21.95,11,25.58,9,23.08,9,22.5,0,0.0
ERI,16,45.71,16,45.71,19,50.0,21,51.22,23,53.49,21,53.85,22,55.0,11,73.33
ESP,7,20.0,3,8.57,1,2.63,2,4.88,1,2.33,1,2.56,1,2.5,0,0.0
EST,0,0.0,0,0.0,0,0.0,0,0.0,2,4.65,0,0.0,1,2.5,3,20.0
ETH,6,17.14,6,17.14,7,18.42,8,19.51,6,13.95,1,2.56,13,32.5,4,26.67
FIN,2,5.71,2,5.71,0,0.0,1,2.44,1,2.33,1,2.56,1,2.5,0,0.0
